group,comparison_axis,left_config,right_config,left_label,right_label,prepare_staged_delta,prepare_missing_delta,compile_ok_delta,compile_fail_delta,jpf_pass_delta,jpf_fail_delta,jpf_timeout_delta,jpf_pass_rate_delta,jpf_timeout_rate_delta
few_shot,Qwen_Qwen3-Coder-Next-FP8_to_MiniMaxAI_MiniMax-M2.7,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot__MiniMaxAI_MiniMax-M2.7,Qwen_Qwen3-Coder-Next-FP8,MiniMaxAI_MiniMax-M2.7,0,0,1,-1,2,-2,0,0.0167,0.0000
zero_shot,Qwen_Qwen3-Coder-Next-FP8_to_MiniMaxAI_MiniMax-M2.7,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot__MiniMaxAI_MiniMax-M2.7,Qwen_Qwen3-Coder-Next-FP8,MiniMaxAI_MiniMax-M2.7,0,0,31,-31,18,-18,5,0.1500,0.0417
