benchmark,config,strategy,model,pass_kind,method,jpf_pass,violation_type,counterexample,instructions,states_new,states_end,depth,timeout,notes
IsAscending,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,n/a,IsAscending.isAscending,false,NoUncaughtExceptionsProperty,"      [17 insn w/o sources]\n------------------------------------------------------ transition #2 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-3..3,delta=+1,cur=-1]\n      [14 insn w/o sources]\n------------------------------------------------------ transition #3 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-3..3,delta=+1,cur=0]\n      [14 insn w/o sources]\n------------------------------------------------------ transition #4 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)""...",1553705,469,2801,5,false,pass_kind=n/a; entry=isAscending
IsAscending,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,n/a,IsAscending.isAscending,false,NoUncaughtExceptionsProperty,            ^\n/Users/max/Downloads/verification-project/experiment/specgenbench-together/stage34_runs/zero_shot__MiniMaxAI_MiniMax-M2.7/src/IsAscending/IsAscending.java:11: verify: JML loop invariant is false before entering loop\n        /*@ maintaining (\forall int j; 0 <= j < i; arr[j] < arr[j+1]);\n            ^\n/Users/max/Downloads/verification-project/experiment/specgenbench-together/stage34_runs/zero_shot__MiniMaxAI_MiniMax-M2.7/src/IsAscending/IsAscending.java:11: verify: JML loop invariant is false at beginning of loop body\n        /*@ maintaining (\forall int j; 0 <= j < i; arr[j] <...,2279196,474,2801,6,false,pass_kind=n/a; entry=isAscending
IsAscending,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,,IsAscending,false,skipped,,,,,,false,no_rac_class
IsBoomerang,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,,IsBoomerang,false,skipped,,,,,,false,harness_unsupported:unsupported param type: int[][]
IsBoomerang,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,,IsBoomerang,false,skipped,,,,,,false,harness_unsupported:unsupported param type: int[][]
IsBoomerang,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,,IsBoomerang,false,skipped,,,,,,false,no_rac_class
IsBoomerang,zero_shot__Qwen_Qwen3-Coder-Next-FP8,zero_shot,Qwen_Qwen3-Coder-Next-FP8,,IsBoomerang,false,skipped,,,,,,false,harness_unsupported:unsupported param type: int[][]
IsCommonFactor,few_shot__MiniMaxAI_MiniMax-M2.7,few_shot,MiniMaxAI_MiniMax-M2.7,n/a,IsCommonFactor.isCommonFactor,false,NoUncaughtExceptionsProperty,"gov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at IsCommonFactor.isCommonFactor(IsCommonFactor.java:5)\n	at Harness_IsCommonFactor.main(Harness_IsCommonFactor.java:8)\n\n\n====================================================== trace #79\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""veri...",208916,93,729,4,false,pass_kind=n/a; entry=isCommonFactor
IsCommonFactor,few_shot__Qwen_Qwen3-Coder-Next-FP8,few_shot,Qwen_Qwen3-Coder-Next-FP8,n/a,IsCommonFactor.isCommonFactor,false,NoUncaughtExceptionsProperty,"      [7 insn w/o sources]\n------------------------------------------------------ transition #3 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""verifyGetInt(II)"",isCascaded:false,-4..4,delta=+1,cur=0]\n      [157 insn w/o sources]\n\n====================================================== error 79\ngov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at IsCommonFactor.isCommonFactor(IsCommonFactor.java:4)\n	at Harness_IsCommonFactor.main(Harness_IsCommonFactor.java:8)\n\n\n====================================================== trace #79\n------------...",175868,93,729,4,false,pass_kind=n/a; entry=isCommonFactor
IsCommonFactor,zero_shot__MiniMaxAI_MiniMax-M2.7,zero_shot,MiniMaxAI_MiniMax-M2.7,n/a,IsCommonFactor.isCommonFactor,false,NoUncaughtExceptionsProperty,"gov.nasa.jpf.vm.NoUncaughtExceptionsProperty\njava.lang.ArithmeticException: division by zero\n	at IsCommonFactor.isCommonFactor(IsCommonFactor.java:7)\n	at Harness_IsCommonFactor.main(Harness_IsCommonFactor.java:8)\n\n\n====================================================== trace #79\n------------------------------------------------------ transition #0 thread: 0\ngov.nasa.jpf.vm.choice.ThreadChoiceFromSet {id:""ROOT"" ,1/1,isCascaded:false}\n      [9169 insn w/o sources]\n------------------------------------------------------ transition #1 thread: 0\ngov.nasa.jpf.vm.choice.IntIntervalGenerator[id=""veri...",207620,93,729,4,false,pass_kind=n/a; entry=isCommonFactor
